Designator,X mm,Y mm,Side,Rotation
SW1,47.5,47.5,Bottom,0
D1,47.5,57.0,Bottom,0
SW2,68.5,47.5,Bottom,0
D2,68.5,57.0,Bottom,0
SW3,89.5,47.5,Bottom,0
D3,89.5,57.0,Bottom,0
SW4,110.5,47.5,Bottom,0
D4,110.5,57.0,Bottom,0
SW5,131.5,47.5,Bottom,0
D5,131.5,57.0,Bottom,0
SW6,152.5,47.5,Bottom,0
D6,152.5,57.0,Bottom,0
SW7,47.5,68.5,Bottom,0
D7,47.5,78.0,Bottom,0
SW8,68.5,68.5,Bottom,0
D8,68.5,78.0,Bottom,0
SW9,89.5,68.5,Bottom,0
D9,89.5,78.0,Bottom,0
SW10,110.5,68.5,Bottom,0
D10,110.5,78.0,Bottom,0
SW11,131.5,68.5,Bottom,0
D11,131.5,78.0,Bottom,0
SW12,152.5,68.5,Bottom,0
D12,152.5,78.0,Bottom,0
SW13,47.5,89.5,Bottom,0
D13,47.5,99.0,Bottom,0
SW14,68.5,89.5,Bottom,0
D14,68.5,99.0,Bottom,0
SW15,89.5,89.5,Bottom,0
D15,89.5,99.0,Bottom,0
SW16,110.5,89.5,Bottom,0
D16,110.5,99.0,Bottom,0
SW17,131.5,89.5,Bottom,0
D17,131.5,99.0,Bottom,0
SW18,152.5,89.5,Bottom,0
D18,152.5,99.0,Bottom,0
SW19,47.5,110.5,Bottom,0
D19,47.5,120.0,Bottom,0
SW20,68.5,110.5,Bottom,0
D20,68.5,120.0,Bottom,0
SW21,89.5,110.5,Bottom,0
D21,89.5,120.0,Bottom,0
SW22,110.5,110.5,Bottom,0
D22,110.5,120.0,Bottom,0
SW23,131.5,110.5,Bottom,0
D23,131.5,120.0,Bottom,0
SW24,152.5,110.5,Bottom,0
D24,152.5,120.0,Bottom,0
SW25,47.5,131.5,Bottom,0
D25,47.5,141.0,Bottom,0
SW26,68.5,131.5,Bottom,0
D26,68.5,141.0,Bottom,0
SW27,89.5,131.5,Bottom,0
D27,89.5,141.0,Bottom,0
SW28,110.5,131.5,Bottom,0
D28,110.5,141.0,Bottom,0
SW29,131.5,131.5,Bottom,0
D29,131.5,141.0,Bottom,0
SW30,152.5,131.5,Bottom,0
D30,152.5,141.0,Bottom,0
SW31,47.5,152.5,Bottom,0
D31,47.5,162.0,Bottom,0
SW32,68.5,152.5,Bottom,0
D32,68.5,162.0,Bottom,0
SW33,89.5,152.5,Bottom,0
D33,89.5,162.0,Bottom,0
SW34,110.5,152.5,Bottom,0
D34,110.5,162.0,Bottom,0
SW35,131.5,152.5,Bottom,0
D35,131.5,162.0,Bottom,0
SW36,152.5,152.5,Bottom,0
D36,152.5,162.0,Bottom,0
J1,145,36.5,Through-hole,0
