physical_y_top_to_bottom,physical_x_left_to_right,switch_ref,diode_ref,firmware_scanned_row,firmware_scanned_col,pico_row_gpio,pico_col_gpio,reported_key_number
0,0,SW1,D1,ROW0,COL0,12,6,0
0,1,SW2,D2,ROW1,COL0,1,6,1
0,2,SW3,D3,ROW2,COL0,2,6,2
0,3,SW4,D4,ROW3,COL0,3,6,3
0,4,SW5,D5,ROW4,COL0,4,6,4
0,5,SW6,D6,ROW5,COL0,5,6,5
1,0,SW7,D7,ROW0,COL1,12,7,6
1,1,SW8,D8,ROW1,COL1,1,7,7
1,2,SW9,D9,ROW2,COL1,2,7,8
1,3,SW10,D10,ROW3,COL1,3,7,9
1,4,SW11,D11,ROW4,COL1,4,7,10
1,5,SW12,D12,ROW5,COL1,5,7,11
2,0,SW13,D13,ROW0,COL2,12,8,12
2,1,SW14,D14,ROW1,COL2,1,8,13
2,2,SW15,D15,ROW2,COL2,2,8,14
2,3,SW16,D16,ROW3,COL2,3,8,15
2,4,SW17,D17,ROW4,COL2,4,8,16
2,5,SW18,D18,ROW5,COL2,5,8,17
3,0,SW19,D19,ROW0,COL3,12,9,18
3,1,SW20,D20,ROW1,COL3,1,9,19
3,2,SW21,D21,ROW2,COL3,2,9,20
3,3,SW22,D22,ROW3,COL3,3,9,21
3,4,SW23,D23,ROW4,COL3,4,9,22
3,5,SW24,D24,ROW5,COL3,5,9,23
4,0,SW25,D25,ROW0,COL4,12,10,24
4,1,SW26,D26,ROW1,COL4,1,10,25
4,2,SW27,D27,ROW2,COL4,2,10,26
4,3,SW28,D28,ROW3,COL4,3,10,27
4,4,SW29,D29,ROW4,COL4,4,10,28
4,5,SW30,D30,ROW5,COL4,5,10,29
5,0,SW31,D31,ROW0,COL5,12,11,30
5,1,SW32,D32,ROW1,COL5,1,11,31
5,2,SW33,D33,ROW2,COL5,2,11,32
5,3,SW34,D34,ROW3,COL5,3,11,33
5,4,SW35,D35,ROW4,COL5,4,11,34
5,5,SW36,D36,ROW5,COL5,5,11,35
